ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,LATITUDE,LONGITUDE
T20230012885,2023-04-11,13:30:00,-37.168789,146.044925
T20230008539,2023-04-11,23:15:00,-37.955503,145.160897
T20230008588,2023-04-11,10:30:00,-37.638896,143.803686
T20230008537,2023-04-11,23:57:00,-37.612918,144.920202
T20230008532,2023-04-11,20:24:00,-37.64047,144.93149
T20230008747,2023-04-11,15:00:00,-38.145332,145.123069
T20230008531,2023-04-11,16:03:00,-37.788747,144.936019
T20230010072,2023-04-11,05:30:00,-37.621949,144.947814
T20230008519,2023-04-11,15:50:00,-37.579483,149.012799
T20230008518,2023-04-11,15:45:00,-38.014697,145.104261
T20230008515,2023-04-11,16:10:00,-37.70307,144.891417
T20230008514,2023-04-11,16:28:00,-37.711058,142.039219
T20230009118,2023-04-11,11:15:00,-37.826101,145.21729
T20230008581,2023-04-11,20:30:00,-37.787281,144.995434
T20230008500,2023-04-11,15:00:00,-37.801029,145.127001
T20230011032,2023-04-11,18:00:00,-37.7232,145.029535
T20230008513,2023-04-11,17:00:00,-37.740138,145.023451
T20230008508,2023-04-11,13:58:00,-38.026137,143.654332
T20230011415,2023-04-12,07:00:00,-37.739602,145.07077
T20230008568,2023-04-12,00:30:00,-37.839422,144.747084
T20230008573,2023-04-12,14:36:00,-37.79942,145.051469
T20230022109,2023-04-12,11:15:00,-36.765312,144.28235
T20230008548,2023-04-12,08:25:00,-37.942522,145.134134
T20230008541,2023-04-12,05:45:00,-37.788345,144.932106
T20230008543,2023-04-12,06:10:00,-37.903375,145.214498
T20230008590,2023-04-12,17:00:00,-37.612335,144.565698
T20230008702,2023-04-12,06:00:00,-37.909604,145.085236
T20230011112,2023-04-12,10:30:00,-37.975805,145.122555
T20230009294,2023-04-12,09:30:00,-37.848111,145.152877
T20230008605,2023-04-12,21:00:00,-37.886272,144.998995
T20230008606,2023-04-12,16:10:00,-37.704969,145.028255
T20230010689,2023-04-12,13:30:00,-37.804205,144.983367
T20230008614,2023-04-12,22:48:00,-38.215387,145.329452
T20230008603,2023-04-12,19:17:00,-37.634797,144.817123
T20230008592,2023-04-12,15:40:00,-37.709479,147.657364
T20230009028,2023-04-12,22:40:00,-37.72644,144.856811
