datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2021-01-09 16:00:00,2021-01-09 17:00:00,10239,Melbourne CBD,8.35
2021-01-09 17:00:00,2021-01-09 18:00:00,10239,Melbourne CBD,9.483
2021-01-09 18:00:00,2021-01-09 19:00:00,10239,Melbourne CBD,12.617
2021-01-09 19:00:00,2021-01-09 20:00:00,10239,Melbourne CBD,9.717
2021-01-09 20:00:00,2021-01-09 21:00:00,10239,Melbourne CBD,8.217
2021-01-09 21:00:00,2021-01-09 22:00:00,10239,Melbourne CBD,-1.2
2021-01-09 22:00:00,2021-01-09 23:00:00,10239,Melbourne CBD,1.967
2021-01-09 23:00:00,2021-01-10 00:00:00,10239,Melbourne CBD,14.383
2021-01-10 00:00:00,2021-01-10 01:00:00,10239,Melbourne CBD,4.467
2021-01-10 01:00:00,2021-01-10 02:00:00,10239,Melbourne CBD,8.2
2021-01-10 02:00:00,2021-01-10 03:00:00,10239,Melbourne CBD,4.183
2021-01-10 03:00:00,2021-01-10 04:00:00,10239,Melbourne CBD,4.8
2021-01-10 04:00:00,2021-01-10 05:00:00,10239,Melbourne CBD,4.533
2021-01-10 05:00:00,2021-01-10 06:00:00,10239,Melbourne CBD,4.65
2021-01-10 06:00:00,2021-01-10 07:00:00,10239,Melbourne CBD,8.417
2021-01-10 07:00:00,2021-01-10 08:00:00,10239,Melbourne CBD,8.15
2021-01-10 08:00:00,2021-01-10 09:00:00,10239,Melbourne CBD,11.9
2021-01-10 09:00:00,2021-01-10 10:00:00,10239,Melbourne CBD,13.117
2021-01-10 10:00:00,2021-01-10 11:00:00,10239,Melbourne CBD,13.55
2021-01-10 11:00:00,2021-01-10 12:00:00,10239,Melbourne CBD,10.983
2021-01-10 12:00:00,2021-01-10 13:00:00,10239,Melbourne CBD,15.983
2021-01-10 13:00:00,2021-01-10 14:00:00,10239,Melbourne CBD,14.917
2021-01-10 14:00:00,2021-01-10 15:00:00,10239,Melbourne CBD,13.233
2021-01-10 15:00:00,2021-01-10 16:00:00,10239,Melbourne CBD,7.089
2021-01-10 16:00:00,2021-01-10 17:00:00,10239,Melbourne CBD,12.867
2021-01-10 17:00:00,2021-01-10 18:00:00,10239,Melbourne CBD,8.183
2021-01-10 18:00:00,2021-01-10 19:00:00,10239,Melbourne CBD,11.083
2021-01-10 19:00:00,2021-01-10 20:00:00,10239,Melbourne CBD,9.033
2021-01-10 20:00:00,2021-01-10 21:00:00,10239,Melbourne CBD,-1.65
2021-01-10 21:00:00,2021-01-10 22:00:00,10239,Melbourne CBD,10.517
2021-01-10 22:00:00,2021-01-10 23:00:00,10239,Melbourne CBD,11.017
2021-01-10 23:00:00,2021-01-11 00:00:00,10239,Melbourne CBD,8.617
2021-01-11 00:00:00,2021-01-11 01:00:00,10239,Melbourne CBD,8.467
2021-01-11 01:00:00,2021-01-11 02:00:00,10239,Melbourne CBD,1.633
2021-01-11 02:00:00,2021-01-11 03:00:00,10239,Melbourne CBD,2.3
2021-01-11 03:00:00,2021-01-11 04:00:00,10239,Melbourne CBD,9.083
2021-01-11 04:00:00,2021-01-11 05:00:00,10239,Melbourne CBD,11.817
2021-01-11 05:00:00,2021-01-11 06:00:00,10239,Melbourne CBD,8.967
2021-01-11 06:00:00,2021-01-11 07:00:00,10239,Melbourne CBD,6
2021-01-11 07:00:00,2021-01-11 08:00:00,10239,Melbourne CBD,10.317
2021-01-11 08:00:00,2021-01-11 09:00:00,10239,Melbourne CBD,13.733
2021-01-11 09:00:00,2021-01-11 10:00:00,10239,Melbourne CBD,13.733
2021-01-11 10:00:00,2021-01-11 11:00:00,10239,Melbourne CBD,10.433
2021-01-11 11:00:00,2021-01-11 12:00:00,10239,Melbourne CBD,6.183
2021-01-11 12:00:00,2021-01-11 13:00:00,10239,Melbourne CBD,6.05
2021-01-11 13:00:00,2021-01-11 14:00:00,10239,Melbourne CBD,-0.233
2021-01-11 14:00:00,2021-01-11 15:00:00,10239,Melbourne CBD,6.517
2021-01-11 15:00:00,2021-01-11 16:00:00,10239,Melbourne CBD,11.6
2021-01-11 16:00:00,2021-01-11 17:00:00,10239,Melbourne CBD,4.567
2021-01-11 17:00:00,2021-01-11 18:00:00,10239,Melbourne CBD,1.883
2021-01-11 18:00:00,2021-01-11 19:00:00,10239,Melbourne CBD,0.75
2021-01-11 19:00:00,2021-01-11 20:00:00,10239,Melbourne CBD,5.6
2021-01-11 20:00:00,2021-01-11 21:00:00,10239,Melbourne CBD,4.983
2021-01-11 21:00:00,2021-01-11 22:00:00,10239,Melbourne CBD,3.817
2021-01-11 22:00:00,2021-01-11 23:00:00,10239,Melbourne CBD,11.583
2021-01-11 23:00:00,2021-01-12 00:00:00,10239,Melbourne CBD,10.367
2021-01-12 00:00:00,2021-01-12 01:00:00,10239,Melbourne CBD,3.133
2021-01-12 01:00:00,2021-01-12 02:00:00,10239,Melbourne CBD,3.717
2021-01-12 02:00:00,2021-01-12 03:00:00,10239,Melbourne CBD,6.867
2021-01-12 03:00:00,2021-01-12 04:00:00,10239,Melbourne CBD,8.183
2021-01-12 04:00:00,2021-01-12 05:00:00,10239,Melbourne CBD,7.533
2021-01-12 05:00:00,2021-01-12 06:00:00,10239,Melbourne CBD,2.05
2021-01-12 06:00:00,2021-01-12 07:00:00,10239,Melbourne CBD,6.55
2021-01-12 07:00:00,2021-01-12 08:00:00,10239,Melbourne CBD,-1.067
2021-01-12 08:00:00,2021-01-12 09:00:00,10239,Melbourne CBD,8.4
2021-01-12 09:00:00,2021-01-12 10:00:00,10239,Melbourne CBD,4.9
2021-01-12 10:00:00,2021-01-12 11:00:00,10239,Melbourne CBD,3.5
2021-01-12 11:00:00,2021-01-12 12:00:00,10239,Melbourne CBD,3.367
2021-01-12 12:00:00,2021-01-12 13:00:00,10239,Melbourne CBD,4.333
