datetime_AEST,datetime_local,location_id,location_name,BPM2.5,CO,DBT,NO2,O3,PM10,Sigma05,SWD,SWS,VWD,VWS
2021-01-06 08:00:00,2021-01-06 09:00:00,10003,Footscray,,0.133,15.741,4.501,11.396,12.291,14.434,197.385,3.424,197.69,3.296
2021-01-06 09:00:00,2021-01-06 10:00:00,10003,Footscray,,0.137,16.259,4.275,11.733,18.151,16.668,189.936,3.518,190.154,3.347
2021-01-06 10:00:00,2021-01-06 11:00:00,10003,Footscray,,0.134,17.184,2.103,13.227,8.63,16.956,181.675,4.086,182.122,3.899
2021-01-06 11:00:00,2021-01-06 12:00:00,10003,Footscray,,0.136,18.077,2.189,12.77,,16.708,183.294,4.493,182.391,4.232
2021-01-06 12:00:00,2021-01-06 13:00:00,10003,Footscray,,0.13,18.737,1.728,13.841,12.304,18.274,186.516,4.578,186.182,4.332
2021-01-06 13:00:00,2021-01-06 14:00:00,10003,Footscray,,0.118,19.527,1.579,14.136,7.88,16.603,188.116,5.135,189.009,4.881
2021-01-06 14:00:00,2021-01-06 15:00:00,10003,Footscray,,0.106,19.596,1.456,12.971,17.117,17.621,184.224,5.166,183.963,4.879
2021-01-06 15:00:00,2021-01-06 16:00:00,10003,Footscray,,0.108,19.396,1.52,12.953,12.583,15.545,186.217,5.462,186.012,5.245
2021-01-06 16:00:00,2021-01-06 17:00:00,10003,Footscray,,0.115,18.622,1.643,12.181,19.364,16.29,188.185,4.949,188.72,4.747
2021-01-06 17:00:00,2021-01-06 18:00:00,10003,Footscray,,0.134,17.621,1.966,10.869,15.454,14.967,191.159,4.784,191.197,4.605
2021-01-06 18:00:00,2021-01-06 19:00:00,10003,Footscray,,0.136,17.353,2.013,10.294,15.778,15.72,191.983,3.982,192.007,3.839
2021-01-06 19:00:00,2021-01-06 20:00:00,10003,Footscray,,0.111,17.374,2.1,9.654,9.672,15.925,181.446,3.686,180.69,3.521
2021-01-06 20:00:00,2021-01-06 21:00:00,10003,Footscray,,0.11,17.059,2.144,9.234,8.744,15.994,183.485,3.534,182.963,3.401
2021-01-06 21:00:00,2021-01-06 22:00:00,10003,Footscray,,0.112,16.958,2.082,9.706,10.533,16.211,183.361,3.004,182.857,2.884
2021-01-06 22:00:00,2021-01-06 23:00:00,10003,Footscray,,0.111,16.883,2.083,10.287,15.588,15.03,185.116,3.063,184.533,2.962
2021-01-06 23:00:00,2021-01-07 00:00:00,10003,Footscray,,0.119,16.759,2.198,10.657,27.249,16.163,186.006,2.905,185.484,2.789
2021-01-07 00:00:00,2021-01-07 01:00:00,10003,Footscray,,,16.597,,,20.496,16.703,179.245,2.501,178.657,2.403
2021-01-07 01:00:00,2021-01-07 02:00:00,10003,Footscray,,0.06,16.663,1.54,11.09,25.964,15.822,177.436,2.522,177.217,2.433
2021-01-07 02:00:00,2021-01-07 03:00:00,10003,Footscray,,0.073,16.526,3.078,9.488,26.836,16.994,169.023,2.375,168.52,2.283
2021-01-07 03:00:00,2021-01-07 04:00:00,10003,Footscray,,0.075,16.361,3.083,9.451,26.014,17.14,147.391,1.872,148.133,1.68
2021-01-07 04:00:00,2021-01-07 05:00:00,10003,Footscray,,0.089,15.881,7.203,4.442,24.91,16.641,149.215,1.779,150.892,1.615
2021-01-07 05:00:00,2021-01-07 06:00:00,10003,Footscray,,0.099,15.975,7.934,3.92,21.922,16.073,172.709,2.184,171.098,2.093
2021-01-07 06:00:00,2021-01-07 07:00:00,10003,Footscray,,0.092,17.342,7.905,5.717,16.674,19.236,147.934,2.724,148.712,2.585
2021-01-07 07:00:00,2021-01-07 08:00:00,10003,Footscray,,0.104,18.584,6.055,8.576,17.344,18.17,149.85,3.498,150.011,3.284
2021-01-07 08:00:00,2021-01-07 09:00:00,10003,Footscray,,0.111,19.976,5.551,10.764,10.546,20.142,151.165,3.407,152.073,3.184
2021-01-07 09:00:00,2021-01-07 10:00:00,10003,Footscray,,0.116,21.467,5.578,13.228,13.726,21.668,142.273,3.803,143.259,3.533
2021-01-07 10:00:00,2021-01-07 11:00:00,10003,Footscray,,0.104,22.758,5.409,16.264,11.842,21.409,156.149,3.345,156.132,3.104
2021-01-07 11:00:00,2021-01-07 12:00:00,10003,Footscray,,0.07,23.843,4.059,18.871,8.959,16.882,158.321,4.664,158.604,4.475
2021-01-07 12:00:00,2021-01-07 13:00:00,10003,Footscray,,0.07,24.847,3.339,20.14,19.403,17.57,157.822,5.157,157.741,4.921
2021-01-07 13:00:00,2021-01-07 14:00:00,10003,Footscray,,0.063,25.445,3.479,21.647,22.092,15.667,152.74,5.867,152.741,5.64
2021-01-07 14:00:00,2021-01-07 15:00:00,10003,Footscray,,0.052,25.888,3.704,23.225,22.086,18.093,157.633,5.444,156.996,5.176
2021-01-07 15:00:00,2021-01-07 16:00:00,10003,Footscray,,0.039,26.347,3.746,24.897,17.444,16.649,152.78,5.311,153.164,5.105
2021-01-07 16:00:00,2021-01-07 17:00:00,10003,Footscray,,0.04,26.474,7.007,20.161,17.608,16.381,142.879,5.385,142.871,5.177
2021-01-07 17:00:00,2021-01-07 18:00:00,10003,Footscray,,0.037,26.051,5.48,19.009,16.532,16.336,139.1,5.223,140.243,5.025
2021-01-07 18:00:00,2021-01-07 19:00:00,10003,Footscray,,0.035,24.753,4.526,16.942,16.709,16.282,132.894,5.017,132.816,4.834
2021-01-07 19:00:00,2021-01-07 20:00:00,10003,Footscray,,0.037,22.791,5.059,13.623,15.951,16.764,130.517,4.423,131.732,4.241
2021-01-07 20:00:00,2021-01-07 21:00:00,10003,Footscray,,0.067,21.259,5.571,10.889,15.987,16.064,127.602,4.161,127.945,4.01
2021-01-07 21:00:00,2021-01-07 22:00:00,10003,Footscray,,0.087,20.18,4.339,12.282,14.897,15.888,128.402,3.98,128.432,3.844
2021-01-07 22:00:00,2021-01-07 23:00:00,10003,Footscray,,0.092,19.145,4.024,11.295,15.236,15.479,132.957,3.736,133.421,3.609
2021-01-07 23:00:00,2021-01-08 00:00:00,10003,Footscray,,0.081,18.162,4.281,10.398,12.314,16.358,138.454,3.74,138.558,3.6
2021-01-08 00:00:00,2021-01-08 01:00:00,10003,Footscray,,,17.207,,,12.125,18.406,147.387,3.083,147.792,2.951
2021-01-08 01:00:00,2021-01-08 02:00:00,10003,Footscray,,0.057,16.213,7.075,7.102,9.374,16.208,139.964,3.204,140.953,3.088
2021-01-08 02:00:00,2021-01-08 03:00:00,10003,Footscray,,0.076,15.48,5.992,8.012,8.292,15.624,133.498,2.697,133.893,2.611
2021-01-08 03:00:00,2021-01-08 04:00:00,10003,Footscray,,0.091,14.786,4.629,8.015,10.19,17.687,129.908,1.838,129.643,1.757
2021-01-08 04:00:00,2021-01-08 05:00:00,10003,Footscray,,0.107,13.996,7.107,4.812,9.469,14.259,156.852,1.262,150.563,1.205
2021-01-08 05:00:00,2021-01-08 06:00:00,10003,Footscray,,0.167,12.9,12.071,0.25,18.43,14.909,149.472,0.583,146.185,0.449
2021-01-08 06:00:00,2021-01-08 07:00:00,10003,Footscray,,0.178,15.303,12.055,2.031,15.124,28.163,74.386,0.659,44.378,0.579
2021-01-08 07:00:00,2021-01-08 08:00:00,10003,Footscray,,0.182,17.292,9.081,5.819,19.266,34.056,216.919,1.278,347.652,1.02
2021-01-08 08:00:00,2021-01-08 09:00:00,10003,Footscray,0.206,0.186,19.372,10.458,6.733,18.222,44.465,184.539,1.219,343.858,0.437
2021-01-08 09:00:00,2021-01-08 10:00:00,10003,Footscray,3.27,0.18,21.22,11.353,9.041,18.62,37.687,190.213,1.315,3.089,0.81
